"Bu araştırmaya gönüllü olarak katıldığımı, verdiğim bilgilerin anonim olarak kullanılmasını kabul ediyorum.",Yas,Cinsiyet,Sinif,GNO,ChatGPT_Kullanim_Sikligi,Odev_Proje_Hazirlama,Konu_Tekrari_Ogrenme,Kod_Yazma_Duzeltme,Metin_Cevirisi,Gunluk_Sohbet_Eglence,ChatGPT’nin sunduğu bilgilerin genel olarak güvenilir olduğunu düşünüyorum.,"ChatGPT, akademik konularda doğru ve tutarlı bilgiler sunmaktadır.",ChatGPT’den aldığım bilgileri ödev ve projelerde güvenle kullanabilirim.,ChatGPT’nin verdiği açıklamaların çoğu zaman doğru olduğunu düşünüyorum.,"ChatGPT, karmaşık konuları anlaşılır ve güvenilir bir şekilde açıklamaktadır.",Akademik çalışmalarımda ChatGPT’yi güvenilir bir bilgi kaynağı olarak görüyorum.
Onaylıyorum,19,Erkek,2,2.01-2.50,Ayda birkaç kez,0,1,1,0,0,4,4,5,4,5,5
Onaylıyorum,25,Kadın,4,2.01-2.50,Her gün,1,1,1,1,0,5,4,3,2,5,2
Onaylıyorum,20,Kadın,2,3.01-4.00,Her gün,1,0,0,0,0,4,5,5,4,3,2
Onaylıyorum,20,Erkek,4,3.01-4.00,Her gün,1,1,1,0,0,4,4,1,4,4,4
Onaylıyorum,22,Erkek,4,2.01-2.50,Haftada birkaç kez,0,1,0,0,0,3,4,4,5,4,4
Onaylıyorum,25,Kadın,4,0-2.00,Haftada birkaç kez,1,0,0,0,0,5,4,5,3,2,3
Onaylıyorum,24,Kadın,1,0-2.00,Her gün,1,1,1,1,0,3,4,3,4,5,1
Onaylıyorum,25,Erkek,2,2.51-3.00,Her gün,0,1,0,0,0,4,5,3,5,3,3
Onaylıyorum,22,Kadın,3,3.01-4.00,Her gün,0,1,0,0,0,4,4,5,1,4,4
Onaylıyorum,23,Kadın,4,2.01-2.50,Her gün,1,1,1,1,1,5,4,4,5,4,4
Onaylıyorum,20,Erkek,3,2.51-3.00,Her gün,0,1,1,1,1,4,4,5,4,4,4
Onaylıyorum,22,Kadın,2,2.51-3.00,Haftada birkaç kez,1,0,0,0,0,2,4,3,4,5,3
Onaylıyorum,24,Erkek,2,3.01-4.00,Her gün,1,1,0,0,0,5,3,2,3,5,4
Onaylıyorum,22,Erkek,2,2.01-2.50,Her gün,1,1,1,1,0,5,5,2,4,3,2
Onaylıyorum,24,Kadın,4,0-2.00,Her gün,1,1,1,0,0,4,5,3,4,5,5
Onaylıyorum,22,Kadın,4,2.51-3.00,Ayda birkaç kez,1,0,1,0,0,5,4,1,5,4,3
Onaylıyorum,22,Erkek,3,2.51-3.00,Haftada birkaç kez,0,0,0,0,0,4,4,4,5,3,1
Onaylıyorum,23,Erkek,4,2.01-2.50,Her gün,0,1,1,1,0,5,5,2,5,4,5
Onaylıyorum,23,Erkek,4,3.01-4.00,Her gün,1,1,1,0,0,1,4,4,5,3,3
Onaylıyorum,24,Erkek,4,2.51-3.00,Haftada birkaç kez,1,0,1,1,1,4,3,4,4,5,4
Onaylıyorum,23,Kadın,3,0-2.00,Ayda birkaç kez,0,1,1,0,1,5,4,2,5,3,2
Onaylıyorum,27,Erkek,3,2.51-3.00,Her gün,1,0,1,0,1,3,4,4,5,2,3
Onaylıyorum,23,Erkek,4,3.01-4.00,Ayda birkaç kez,1,1,1,0,1,5,5,5,2,5,4
Onaylıyorum,23,Kadın,4,3.01-4.00,Her gün,0,0,1,1,0,4,5,4,5,3,3
Onaylıyorum,21,Kadın,4,0-2.00,Her gün,1,0,0,0,0,4,5,4,4,5,4
Onaylıyorum,23,Kadın,1,3.01-4.00,Her gün,1,1,1,0,0,2,4,4,3,5,3
Onaylıyorum,25,Erkek,4,0-2.00,Haftada birkaç kez,1,1,1,0,0,4,4,5,4,5,4
Onaylıyorum,21,Erkek,3,2.51-3.00,Ayda birkaç kez,1,1,1,1,0,4,3,5,4,5,1
Onaylıyorum,23,Erkek,1,2.51-3.00,Her gün,1,0,0,0,0,4,5,5,4,3,4
Onaylıyorum,25,Erkek,3,3.01-4.00,Haftada birkaç kez,1,1,0,0,1,3,5,4,1,4,4
Onaylıyorum,23,Erkek,1,2.51-3.00,Her gün,0,0,1,0,0,1,4,3,5,4,5
Onaylıyorum,22,Erkek,2,0-2.00,Her gün,1,1,1,0,0,2,5,1,4,2,5
Onaylıyorum,25,Kadın,4,2.51-3.00,Her gün,1,1,0,0,0,4,5,2,5,5,2
Onaylıyorum,23,Kadın,4,2.01-2.50,Her gün,1,0,0,0,1,3,3,5,3,4,4
Onaylıyorum,24,Erkek,4,3.01-4.00,Her gün,1,1,1,0,0,3,4,4,4,4,5
Onaylıyorum,26,Erkek,1,0-2.00,Haftada birkaç kez,1,0,1,0,0,4,5,4,2,4,5
Onaylıyorum,26,Erkek,1,2.01-2.50,Haftada birkaç kez,1,1,1,0,0,3,3,3,4,4,2
Onaylıyorum,22,Erkek,0,2.51-3.00,Haftada birkaç kez,0,1,0,0,0,4,3,5,4,3,1
Onaylıyorum,22,Erkek,1,2.01-2.50,Haftada birkaç kez,1,0,0,1,1,4,5,1,4,2,4
Onaylıyorum,24,Erkek,1,2.51-3.00,Her gün,1,1,0,0,1,5,5,4,5,3,4
Onaylıyorum,23,Erkek,4,2.51-3.00,Ayda birkaç kez,0,1,0,1,0,4,2,4,4,1,2
Onaylıyorum,19,Kadın,4,3.01-4.00,Her gün,0,0,0,1,0,3,4,5,2,4,3
Onaylıyorum,26,Kadın,2,3.01-4.00,Ayda birkaç kez,1,0,1,1,1,5,4,5,1,3,3
Onaylıyorum,23,Erkek,2,2.51-3.00,Her gün,1,1,1,1,0,3,5,4,2,5,5
Onaylıyorum,25,Erkek,4,2.01-2.50,Haftada birkaç kez,1,0,0,1,0,4,4,4,3,2,3
Onaylıyorum,20,Kadın,4,2.01-2.50,Her gün,0,1,1,1,0,4,4,4,5,3,5
Onaylıyorum,26,Kadın,3,2.51-3.00,Her gün,1,1,0,0,0,4,4,5,3,5,5
Onaylıyorum,22,Erkek,3,0-2.00,Çok nadir,1,1,0,0,0,5,4,2,5,4,3
Onaylıyorum,23,Erkek,2,3.01-4.00,Her gün,1,0,1,0,1,5,2,3,4,4,5
Onaylıyorum,20,Kadın,4,0-2.00,Her gün,0,0,1,0,0,4,3,5,5,5,2
Onaylıyorum,23,Kadın,4,0-2.00,Haftada birkaç kez,1,1,0,1,0,4,3,5,4,4,4
Onaylıyorum,22,Erkek,4,3.01-4.00,Çok nadir,1,1,1,1,1,2,5,4,3,3,2
Onaylıyorum,23,Erkek,4,3.01-4.00,Haftada birkaç kez,1,0,1,0,0,5,4,1,5,5,3
Onaylıyorum,24,Kadın,1,2.01-2.50,Hiç kullanmadım,1,1,1,1,0,5,4,5,4,5,3
Onaylıyorum,23,Kadın,4,2.01-2.50,Çok nadir,1,1,0,0,0,3,5,5,5,5,5
Onaylıyorum,25,Erkek,4,3.01-4.00,Her gün,1,1,1,0,0,4,2,4,1,3,5
Onaylıyorum,22,Erkek,1,2.51-3.00,Her gün,0,1,0,0,1,4,3,4,2,4,3
Onaylıyorum,21,Kadın,3,2.01-2.50,Her gün,0,1,0,1,1,5,3,4,3,2,3
Onaylıyorum,23,Erkek,4,2.51-3.00,Her gün,1,1,1,0,0,5,5,4,5,1,5
Onaylıyorum,24,Erkek,2,3.01-4.00,Haftada birkaç kez,1,1,1,0,0,5,5,3,2,5,3
Onaylıyorum,26,Erkek,4,0-2.00,Çok nadir,1,1,1,0,0,4,3,2,4,4,4
Onaylıyorum,25,Erkek,3,3.01-4.00,Her gün,1,1,0,0,1,4,2,5,4,3,4
Onaylıyorum,19,Kadın,3,2.51-3.00,Ayda birkaç kez,0,1,0,0,1,1,3,4,4,5,4
Onaylıyorum,24,Erkek,4,2.01-2.50,Haftada birkaç kez,1,1,1,1,1,4,5,4,3,4,3
Onaylıyorum,26,Erkek,0,3.01-4.00,Haftada birkaç kez,0,1,1,0,1,5,4,3,5,4,3
Onaylıyorum,23,Erkek,4,0-2.00,Her gün,0,1,1,1,1,4,5,1,4,2,2
Onaylıyorum,22,Erkek,1,2.51-3.00,Her gün,1,0,0,0,0,3,5,2,3,4,5
Onaylıyorum,24,Erkek,3,2.51-3.00,Haftada birkaç kez,1,1,0,1,1,4,5,2,4,4,5
Onaylıyorum,22,Erkek,3,2.01-2.50,Haftada birkaç kez,1,1,0,1,0,4,4,5,2,3,5
Onaylıyorum,24,Erkek,3,3.01-4.00,Her gün,1,0,1,1,1,1,3,5,4,3,4
